text,category
Street light pole fallen blocking the road,Utilities
Drain water entering houses during heavy rain,Sanitation
Footpath completely broken near school area,Infrastructure
Threatening phone calls from unknown numbers,Safety
BPL card application pending for 6 months now,Administrative
Electricity wire hanging low above road dangerous,Utilities
Water tap installed months ago but no supply,Utilities
Fighting and violence near liquor shop daily,Safety
Hospital negligence patient condition badly worsened,Health
Health checkup camp cancelled without any notice,Health
Dengue cases increasing need fogging urgently,Health
Traffic light timing not synchronized causing jams,Infrastructure
Woman safety issue eve teasing near college,Safety
Property mutation application stuck for many years,Administrative
Public park full of litter not cleaned regularly,Sanitation
No water in overhead tank pump not working,Utilities
Waste collection bins broken and badly damaged,Sanitation
Pension not credited for last 3 months delay,Administrative
Vaccination drive not happening in our area,Health
Composting facility not maintained very smelly,Sanitation
Contaminated water causing diseases in locality,Health
Birth certificate not issued for 2 months delay,Administrative
Disability certificate application rejected unfairly,Administrative
Garbage not collected for 5 days piling up,Sanitation
Water contaminated with dirt and smell bad,Utilities
Footbridge stairs badly damaged and very slippery,Infrastructure
Someone threatening me near bus stand daily,Safety
Water quality very poor causing health problems,Utilities
Refund not processed even after multiple requests,Administrative
Road direction sign boards fallen not visible,Infrastructure
Child immunization schedule not followed properly,Health
Market area gutters overflowing with dirty water,Sanitation
Document verification process delayed indefinitely,Administrative
Voter ID card correction not processed at all,Administrative
Stalking complaint person following me daily,Safety
Broadband fiber cable damaged hanging on road,Utilities
Pharmacy selling fake counterfeit medicines illegally,Health
Group creating nuisance and spreading fear,Safety
Drug peddling happening openly in this area,Safety
Sewage overflow on street smells very terrible,Sanitation
Water motor not working no supply at all,Utilities
No dustbins provided in crowded market area,Sanitation
Passport application stuck at police verification stage,Administrative
Ambulance service not responding to emergency calls,Health
No street lights in entire new colony area,Infrastructure
Death certificate delayed causing many problems,Administrative
Hospital staff very rude not treating properly,Health
Garbage truck not coming to our area regularly,Sanitation
Highway guardrail broken damaged after accident,Infrastructure
Maternity ward conditions very poor and unhygienic,Health
Public toilet facility has broken door locks,Infrastructure
Manhole cover missing on busy main road,Infrastructure
Power cut for more than 8 hours daily,Utilities
Public bench in park area badly broken,Infrastructure
Beach area dirty with plastic waste everywhere,Sanitation
Robbery at weapon point near market yesterday,Safety
Traffic signal not working at main junction,Infrastructure
Rash driving causing accidents daily high risk,Safety
Water connection duplicate bill being charged wrongly,Administrative
Streetlight broken glass dangerous for children,Utilities
Road construction incomplete for many months now,Infrastructure
Hospital equipment not working properly very old,Health
Health insurance claim rejected without proper reason,Health
Bike theft happening very frequently in area,Safety
Open drain full of garbage causing diseases,Sanitation
Drainage metal grill missing on main road,Infrastructure
Electricity bill calculation wrong need correction,Utilities
Very unhygienic conditions in government hospital,Health
Domestic violence hearing screams from neighbor house,Safety
Electricity bill payment not reflecting in system,Administrative
Street lighting not working entire colony dark,Utilities
Broadband cable cut not repaired since week,Utilities
Water leakage from main pipeline wasting water,Utilities
Rabies risk from stray dog bite no vaccine,Health
Water pipe burst flooding the street badly,Utilities
Dustbin overflowing with waste for many days,Sanitation
Health worker not visiting for antenatal checkup,Health
Aadhaar card address change request still pending,Administrative
Hospital beds not available patients on floor,Health
Power supply interruption multiple times every day,Utilities
Covid testing facility not available here locally,Health
Trade license renewal application completely ignored,Administrative
Street light not working since 3 days,Utilities
Grievance filed online but no response from office,Administrative
Theft in house while we were away yesterday,Safety
Robbery attempt near ATM center last night,Safety
Compost pit overflowing with waste terrible smell,Sanitation
Driving license renewal delayed no response at all,Administrative
Electricity connection illegal someone stealing power,Utilities
Manhole overflow sewage water on street,Sanitation
Office staff absent during office hours no service,Administrative
Online portal not working cannot submit application,Administrative
Power cut without notice affecting work from home,Utilities
Broadband speed extremely slow not as promised,Utilities
Scholarship amount not credited to bank account,Administrative
Kidnapping threat to child near home area,Safety
Physical assault by neighbor over small dispute,Safety
Cyberbullying serious threats on social media,Safety
Stray dogs spreading garbage on roads daily,Sanitation
Hospital refused emergency treatment demanding money,Health
Arson attempt fire started deliberately last night,Safety
Building plan approval taking too much long time,Administrative
Street name board completely missing causing confusion,Infrastructure
Bus shelter roof completely collapsed needs fixing,Infrastructure
Lake water heavily polluted with sewage discharge,Sanitation
Food poisoning from street vendor near school,Health
Corruption staff demanding bribe for normal service,Administrative
Zebra crossing paint completely worn out invisible,Infrastructure
Chain snatching happened yesterday evening here,Safety
Fire hazard illegal firecracker storage nearby,Safety
Drainage blocked water logging everywhere badly,Sanitation
Garbage burning creating severe air pollution,Sanitation
RTI application reply not received within time,Administrative
Pension card not issued to eligible senior citizen,Administrative
Harassment by unknown person following me always,Safety
Pedestrian subway flooded with rainwater always,Infrastructure
Oxygen cylinder shortage in hospital very critical,Health
Property tax payment receipt not received yet,Administrative
Mental health facility not available in district,Health
Drain cleaning not done causing severe blockage,Sanitation
